Entry,Majority protein IDs,Unique peptides R1,Unique peptides R2,Unique peptides R3,Ratio H/L normalized R1,Ratio H/L normalized R2,Ratio H/L normalized R3,Log2FC,Pvalue,FDR
Q9BXT8,sp|Q9BXT8|RNF17_HUMAN,1,1,0,,,,,,
Q9BXY0,sp|Q9BXY0|MAK16_HUMAN,3,3,3,1.8561,,2.1987,,,
Q9BY42,sp|Q9BY42|RTF2_HUMAN,4,1,2,1.9381,1.6114,1.4672,0.741776166411741,0.00848685294810821,
Q9BY44,sp|Q9BY44|EIF2A_HUMAN,2,1,3,1.3897,,0.91361,,,
Q9BY77,sp|Q9BY77|PDIP3_HUMAN,9,15,8,1.4716,1.2051,0.6668,0.15639661659766543,0.653864445150518,0.7296907421511662
Q9BYG3,sp|Q9BYG3|MK67I_HUMAN,9,9,12,1.7461,1.3968,2.1464,0.8181143041604498,0.024367001687565833,0.0625011476254647
Q9BZE4,sp|Q9BZE4|GTPB4_HUMAN,19,17,17,0.58021,0.7243,0.96768,-0.4008790230102265,0.09846728587936895,0.16938413944015798
Q9BZH6,sp|Q9BZH6|WDR11_HUMAN,0,1,1,,,,,,
Q9BZI7,sp|Q9BZI7|REN3B_HUMAN,4,4,4,2.1186,1.2708,1.5408,0.7166836718770848,0.061782021476408856,0.1210125730393377
Q9BZJ0,sp|Q9BZJ0|CRNL1_HUMAN,0,2,0,,0.60173,,,,
Q9BZZ5,sp|Q9BZZ5|API5_HUMAN,1,3,2,1.5359,1.4098,0.64024,0.2573888484927653,0.5237582845516653,
Q9C086,sp|Q9C086|IN80B_HUMAN,2,0,1,1.3498,,,,,
Q9GZR2,sp|Q9GZR2|REXO4_HUMAN,20,22,21,1.9232,1.7496,2.0389,0.9289577048576153,0.0004242111601457269,0.0051213856424865934
Q9GZR7,sp|Q9GZR7|DDX24_HUMAN,16,19,18,1.176,1.05,1.2261,0.20251175621010273,0.04516172706906453,0.09642246551080015
Q9GZS1,sp|Q9GZS1|RPA49_HUMAN,1,1,1,,,,,,
Q9GZU8,sp|Q9GZU8|PIP30_HUMAN,8,10,7,2.5908,2.07,1.4352,1.022900402110079,0.03662464615908081,0.08052571208486642
Q9H089,sp|Q9H089|LSG1_HUMAN,5,6,8,1.5556,0.97334,1.2378,0.3283539536801474,0.2035211211211721,0.2937783139662137
Q9H0A0,sp|Q9H0A0|NAT10_HUMAN,48,49,45,1.1749,1.0847,1.365,0.27285929168710965,0.06533950046293364,0.1239208158003075
Q9H0C8,sp|Q9H0C8|ILKAP_HUMAN,11,11,6,2.196,1.8881,1.0569,0.7770865113670836,0.1039125089816789,0.17512158874069744
Q9H0D6,sp|Q9H0D6|XRN2_HUMAN,12,10,12,0.72652,0.5701,0.41454,-0.8099878370864622,0.00883846045701459,0.028910038145111762
Q9H0G5,sp|Q9H0G5|NSRP1_HUMAN,0,3,1,,1.2621,,,,
Q9H0H0,sp|Q9H0H0|INT2_HUMAN,3,2,2,0.88973,0.79241,0.95739,-0.18468143743840865,0.06609544531018877,0.12397563753097554
Q9H0S4,sp|Q9H0S4|DDX47_HUMAN,6,3,6,0.91763,1.078,1.0686,0.03056208877603304,0.7014341276563874,0.7736748517671781
Q9H0U9,sp|Q9H0U9|TSYL1_HUMAN,1,1,0,,,,,,
Q9H165,sp|Q9H165|BC11A_HUMAN,1,1,0,,,,,,
Q9H1D9,sp|Q9H1D9|RPC6_HUMAN,6,7,12,1.768,1.4338,1.2567,0.5715959164756681,0.03157855923959832,0.07305980256130064
Q9H1E3,sp|Q9H1E3|NUCKS_HUMAN,0,1,1,,,,,,
Q9H223,sp|Q9H223|EHD4_HUMAN;sp|Q9H4M9|EHD1_HUMAN;sp|Q9NZN3|EHD3_HUMAN,2,1,1,1.4074,,,,,
Q9H4M9,sp|Q9H223|EHD4_HUMAN;sp|Q9H4M9|EHD1_HUMAN;sp|Q9NZN3|EHD3_HUMAN,2,1,1,1.4074,,,,,
Q9NZN3,sp|Q9H223|EHD4_HUMAN;sp|Q9H4M9|EHD1_HUMAN;sp|Q9NZN3|EHD3_HUMAN,2,1,1,1.4074,,,,,
Q9H2M9,sp|Q9H2M9|RBGPR_HUMAN,1,0,0,,,,,,
Q9H2P0,sp|Q9H2P0|ADNP_HUMAN,5,7,5,0.63058,0.60782,1.0496,-0.39087544860485374,0.1737677198449879,0.2598688422907026
Q9H2U1,sp|Q9H2U1|DHX36_HUMAN,3,2,2,1.4711,1.1738,0.61397,0.11940930177076632,0.7485777206116896,0.8056006588106351
Q9H2Y7,sp|Q9H2Y7|ZN106_HUMAN,11,13,10,0.97142,0.90596,0.86865,-0.1276151139051858,0.047899983365500005,0.1006505979578861
Q9H3P2,sp|Q9H3P2|NELFA_HUMAN,1,1,1,,,,,,
Q9H3U1,sp|Q9H3U1|UN45A_HUMAN,5,4,3,1.0737,1.1459,0.75833,-0.010652658768835178,0.9536698437081861,0.9682519514101461
Q9H410,sp|Q9H410|DSN1_HUMAN,1,1,0,,,,,,
Q9H444,sp|Q9H444|CHM4B_HUMAN,2,2,2,1.8286,1.795,0.63328,0.5048339208889439,0.3464254865344853,0.4510323981547024
Q9H4A6,sp|Q9H4A6|GOLP3_HUMAN,1,1,0,,,,,,
Q9H4I3,sp|Q9H4I3|TRABD_HUMAN,1,2,1,,0.80896,,,,
Q9H4L4,sp|Q9H4L4|SENP3_HUMAN,6,6,6,0.93026,1.0116,1.0473,-0.005222378871220821,0.9219261518030714,0.9497508309602182
Q9H4L7,sp|Q9H4L7|SMRCD_HUMAN,3,1,1,0.96937,,,,,
